"disabledOnThisBranch","_id","barcode","code","zone","aisle","shelf","name","scientificName","itemId","collection","unit","category","categoryId","brand","inventory","inventoryId","quantity","quantities","packagingQuantity","expires","packaging","quantityInPackaging","quantityByDefaultPackaging","singleBadgeNumber","itemCostPrice","itemCostPriceCurrency","costPrice","costPriceIqd","costPriceUsd","sellingPriceMultiple","sellingPrice","defaultCurrency","defaultCurrencyMultiple","exRate","parentItem","parentItemId","totalCostPrice","totalCostPriceIqd","totalCostPriceUsd","costPriceCurrency","itemExpenseCost","trader","traderName","attributes","supplier","inventoryReminderQuantity","volume","weight","potentialSalesValue","display","packing","currentRent","key","rowIndex","expiryDate"
"no","6a44fbec7bd19ff6267d9f12","582","","","","","Black wolf nvme 128gb","","","","","M.2","6a44fbeb7bd19ff6267d9da9","","سەرەکی","6a44cc677bd19ff6267d63f4","2","","2","no","2 دانە","1","2","true","10.5","$","10.5","0","10.5","35","45","$","$","","","","","0","21","$","","","","","","10","0","0","90","true","","0","6a44fbec7bd19ff6267d9f12-49","49",""
"no","6a44fbea7bd19ff6267d9c24","447","","","","","Borofone bl3 aux to aux","","","","","ADAPTER","6a44fbe67bd19ff6267d95db","","سەرەکی","6a44cc677bd19ff6267d63f4","5","","5","no","5 دانە","1","5","true","1","$","1","0","1","1.5","2","$","$","","","","","0","5","$","","","","","","10","0","0","10","true","","0","6a44fbea7bd19ff6267d9c24-50","50",""
"no","6a44fbeb7bd19ff6267d9d70","534","","","","","Boya by-um4","","","","","MIC","6a44fbe67bd19ff6267d9643","","سەرەکی","6a44cc677bd19ff6267d63f4","2","","2","no","2 دانە","1","2","true","9","$","9","0","9","12","15","$","$","","","","","0","18","$","","","","","","10","0","0","30","true","","0","6a44fbeb7bd19ff6267d9d70-51","51",""
"no","6a44fbe97bd19ff6267d9a3e","410","","","","","Bt 5.0","","","","","ADAPTER","6a44fbe67bd19ff6267d95db","","سەرەکی","6a44cc677bd19ff6267d63f4","2","","2","no","2 دانە","1","2","true","1","$","1","0","1","3","5","$","$","","","","","0","2","$","","","","","","10","0","0","10","true","","0","6a44fbe97bd19ff6267d9a3e-52","52",""
"no","6a44fbe97bd19ff6267d9b48","398","","","","","Bt 5.0 ad030","","","","","ADAPTER","6a44fbe67bd19ff6267d95db","","سەرەکی","6a44cc677bd19ff6267d63f4","1","","1","no","1 دانە","1","1","true","3.5","$","3.5","0","3.5","4.5","5","$","$","","","","","0","3.5","$","","","","","","10","0","0","5","true","","0","6a44fbe97bd19ff6267d9b48-53","53",""
"no","6a44fbef7bd19ff6267da222","707","","","","","Bullet nvme 256gb","","","","","M.2","6a44fbeb7bd19ff6267d9da9","","سەرەکی","6a44cc677bd19ff6267d63f4","1","","1","no","1 دانە","1","1","true","18","$","18","0","18","65","70","$","$","","","","","0","18","$","","","","","","10","0","0","70","true","","0","6a44fbef7bd19ff6267da222-54","54",""
"no","6a44fbed7bd19ff6267d9fc8","671","","","","","Canon pixma g1420","","","","","PRINTER","6a44fbed7bd19ff6267d9fc5","","سەرەکی","6a44cc677bd19ff6267d63f4","1","","1","no","1 دانە","1","1","true","90","$","90","0","90","100","110","$","$","","","","","0","90","$","","","","","","10","0","0","110","true","","0","6a44fbed7bd19ff6267d9fc8-55","55",""
"no","6a44fbea7bd19ff6267d9b66","442","","","","","Carrier poe","","","","","ADAPTER","6a44fbe67bd19ff6267d95db","","سەرەکی","6a44cc677bd19ff6267d63f4","2","","2","no","2 دانە","1","2","true","2","$","2","0","2","4","5","$","$","","","","","0","4","$","","","","","","10","0","0","10","true","","0","6a44fbea7bd19ff6267d9b66-56","56",""
"no","6a44fbf37bd19ff6267da824","1001","","","","","Case Fan YD-1200","","","","","Fan","6a44fbe67bd19ff6267d9733","","سەرەکی","6a44cc677bd19ff6267d63f4","37","","37","no","37 دانە","1","37","true","1.5","$","1.5","0","1.5","7","10","$","$","","","","","0","55.5","$","","","","","","10","0","0","370","true","","0","6a44fbf37bd19ff6267da824-57","57",""
"no","6a44fbee7bd19ff6267da0ec","638","","","","","Catridge tiger 725/728","","","","","PRINTER","6a44fbed7bd19ff6267d9fc5","","سەرەکی","6a44cc677bd19ff6267d63f4","1","","1","no","1 دانە","1","1","true","5","$","5","0","5","7","10","$","$","","","","","0","5","$","","","","","","10","0","0","10","true","","0","6a44fbee7bd19ff6267da0ec-58","58",""
